country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,32,28.6,29.4,30.3,35.7,37,46.4,37.8,31.5,32,27.2,30,22,14.4,10.2,14.5,18.4,22,23.8,26.8
Honduras,22.6,27.7,28.5,29.1,34.4,41.2,34.3,52.3,55.3,59.6,64.8,67.3,71.9,76.2,76.1,82.1,85.5,87.3,90.9,103,136,124,128,135,148,135,127,111,102,107,81.6,70.6,73.4,72.7,74.6,56.1,38.7,25.3,26.1,26.6,26.3,26.2,29.3,39.7,40.3,39,37.8
India,13.8,14.1,14.3,13.1,13,14.3,14.4,12.9,12.2,12,11.2,11.8,13.7,14.3,15.7,17.1,18.4,19.5,20.5,25.5,26.7,32.3,31.4,33.6,30.7,26.7,24.5,23.1,23.9,22.2,22.1,21,21,20,17.8,15.1,17.5,17.1,19.3,19.5,17.7,18.5,21.7,23.3,22.7,22.9,20.4
Indonesia,38.1,51.1,54.8,46.4,37,39.5,38.7,37.3,36.5,38,30.2,27.6,28.8,39.1,39.6,44.9,56,72.7,67.4,66.1,69.2,71.6,72.2,58.7,62.6,63.4,58.3,65.1,168,117,93.5,85.9,67.7,59.5,56.3,52.3,39,35.7,32.1,34.5,27,25.3,28.3,30,34,37,35.1
Iran,,,,,,,,,,,4.73,3.77,6.3,4.45,3.12,3.28,2.7,4.46,4.66,5.3,7.21,,,36.5,30.6,22.3,14.1,10.3,11.1,8.63,7.43,6.02,6.93,9.25,11.4,9.75,7.92,6.16,4.02,4.67,4.23,2.91,1.27,1.36,1.35,,
Jamaica,73.1,70.1,57,65,59.7,56.6,50.8,54.1,56.9,77.6,78.9,83.4,92.8,105,174,226,172,162,133,115,115,126,143,94.7,99.6,83.5,64.4,52.3,47,47.6,56.2,63.5,61.7,64.8,68.5,62.9,71.9,86.6,79.6,97.8,112,103,98,92.9,104,102,104
Jordan,18.1,22.1,22.6,22.3,22.1,24.4,25.2,37.6,42.2,42.9,47.3,48.9,55.5,60.8,66.9,80.4,77.3,95.8,99.1,182,211,244,161,144,128,119,111,104,97.3,101,129,130,135,123,112,100,90.7,84.8,62.4,59.6,65.1,61.8,60.5,69.7,68.6,69.4,70.7
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,7.39,13.2,18.5,14,18.7,27.8,40.5,75.7,73.3,78.4,79.9,82.5,84.7,104,105,93.5,107,92.6,75.4,75.3,70.8,79.3,88.7,135
Kenya,30.2,28.4,28,35.2,40.1,40.7,44.8,38.3,42.5,45.3,48.1,48.6,54.5,62.7,58.6,70.6,65.8,75.2,72.3,73.3,86,95.8,87.8,132,105,83.8,57.6,49.9,48.9,51.3,48.9,42.8,46.8,45.6,43.4,34.6,25.9,23.7,21.4,23.1,22.2,24.2,23.7,25.4,28,31.3,32
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,0.239,14.4,26.9,37.5,63.6,78.7,96.1,158,150,124,126,116,121,95.1,93.2,76.8,73.5,91.4,91.7,99,93.6,98.4,101,117,125
Lao,,,,,,,,,,,,,,,29.6,26.3,49,107,222,206,204,182,170,150,134,123,121,136,198,179,152,152,187,131,130,123,117,122,109,113,97.4,98.1,85.1,86.7,89.9,94.6,93.1
Lebanon,,,,,,,,,,,,,,,,,,,,30.3,51.6,32.4,31.3,17.4,21.4,24.4,28.5,31.7,40.1,48.2,57.3,77,95.6,114,113,108,110,102,82.9,70.8,65.8,62.2,67.8,70.2,66.2,66.4,67.9
Lesotho,9.18,8.79,8.8,5.04,4.24,5.61,5.66,6.85,7.65,10.5,10.4,11.6,17.6,16.7,20.7,34.9,33.6,35,35.4,40.3,41.3,41.4,40.8,46.5,51.6,51.1,55.4,50.9,57.7,57.5,68.1,57.3,63.4,42.6,37.3,30.5,29.3,27.6,27.9,31.5,25.7,24.3,28.1,31.2,32,34,35.9
Liberia,47.4,44.8,40.5,38.3,31,29.1,32.3,39.5,55.7,66.4,73.8,89,102,133,134,155,208,234,215,320,,,,,,,,916,798,774,663,833,869,1380,1250,1000,927,646,458,183,37.6,31.6,33.1,32.2,40.5,47.7,52.3
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,41.8,33.1,29,41.6,33.5,42.4,39.9,40,40.7,42.4,38.7,50.1,48.5,48.2,52.5,44.3,56.2,55.6,59.5,67.9,63.8,64.9,69.5,70.7
